# mask_cen mask_weight
4.704964999697529038e+02 9.997372740552898929e-01
4.706028999697261952e+02 9.997768302810896568e-01
4.718384999694160342e+02 1.000003282746953825e+00
4.892420999650473732e+02 9.999962932797653581e-01
4.894215999650023150e+02 9.999548595074329027e-01
4.894581999649931277e+02 1.000000044845104297e+00
4.898289999649000492e+02 1.000000108645668684e+00
4.903196999647768735e+02 1.000000113506728017e+00
4.911433999645701078e+02 1.000001404292064855e+00
4.914195999645007760e+02 9.995319611516779723e-01
4.916684999644382970e+02 1.000000989499023829e+00
4.920368999643458210e+02 9.999932890223736104e-01
4.921250999643236810e+02 9.999939113300265747e-01
4.925888999642072577e+02 1.000000079598360569e+00
4.929328999641209066e+02 9.994939572034876596e-01
4.929748999641103637e+02 9.994710834746712846e-01
4.931200999640739155e+02 9.994786063350254990e-01
4.932351999640450231e+02 9.994377740687031553e-01
4.933529999640154529e+02 9.997500256899316540e-01
4.933823999640080729e+02 9.994877102033973282e-01
4.933973999640043075e+02 9.988081118998568542e-01
4.934205999639984839e+02 9.994636224282354986e-01
4.934899999639810630e+02 9.988606791519540895e-01
4.935386999639688383e+02 9.994366618873710140e-01
4.936518999639404228e+02 9.994614079616475077e-01
4.937077999639263908e+02 9.993725945969352820e-01
4.937719999639102753e+02 9.993901591602838419e-01
4.938013999639028953e+02 9.993330401008159170e-01
4.941063999638263340e+02 9.999887595224918879e-01
4.946199999636974098e+02 1.000000149419093542e+00
4.947134999636739394e+02 9.982461327499654313e-01
4.947716999636593300e+02 9.998440408847930616e-01
4.949711999636092514e+02 9.993589744014528264e-01
4.951141999635733555e+02 1.000005054672657989e+00
4.952733999635333930e+02 1.000000219421149916e+00
5.055585999609515966e+02 1.000053436921841010e+00
5.070374999605803623e+02 9.999616610901914671e-01
5.073274999605075664e+02 1.000031147060826076e+00
5.075925999604410208e+02 1.000053607904327624e+00
5.084754999602193948e+02 9.999804483085532603e-01
5.093152999600085877e+02 9.999454127893264710e-01
5.095367999599529867e+02 9.998886589692570492e-01
5.096304999599294661e+02 9.999532956640647674e-01
5.096682999599199775e+02 9.999532559317644287e-01
5.104585999597215960e+02 1.000009475542767090e+00
5.116536999594216013e+02 9.996082956767718963e-01
5.117372999594006160e+02 9.998354770982390560e-01
5.118584999593701923e+02 1.000065324964503510e+00
5.119232999593539262e+02 9.991637298942840362e-01
5.128786999591141011e+02 9.999708534960910500e-01
5.131858999590369876e+02 9.999065409451796116e-01
5.133564999589941635e+02 9.998871667129890506e-01
5.133998999589832692e+02 9.934523419785579179e-01
5.134590999589684088e+02 9.999085557754835429e-01
5.134845999589620078e+02 1.000008162320120686e+00
5.135985999589333915e+02 9.999625698204398505e-01
5.136379999589235013e+02 9.999632228047684590e-01
5.137232999589020892e+02 9.971049854175451088e-01
5.139434999588468145e+02 1.000029523767714368e+00
5.150981999585569611e+02 9.999962288864095994e-01
5.158314999583728877e+02 9.999642441569500662e-01
5.160104999583279550e+02 1.000076502947445212e+00
5.161125999583023258e+02 1.000014893330373189e+00
5.163181999582507160e+02 9.997544876464309338e-01
5.285804999551726269e+02 1.000059158138523641e+00
5.292395999550071792e+02 9.999191704147102344e-01
5.293596999549770317e+02 9.991391663386117727e-01
5.295482999549296892e+02 9.991432476468190549e-01
5.300354999548073920e+02 1.000077059527546774e+00
5.304952999546919727e+02 9.973558593859720434e-01
5.305182999546861993e+02 9.975058202208221259e-01
5.305360999546817311e+02 9.978536190666240646e-01
5.305974999546663184e+02 9.992301261232513498e-01
5.307103999546379782e+02 9.986518480440310652e-01
5.308835999545945015e+02 9.993919045822199365e-01
5.396753999523875791e+02 1.000046351896766605e+00
