#order, minWL (nm), maxWL (nm)
78, 1845.058970685002, 1872.1589706849988
79, 1821.7088571320016, 1848.5088571319986
80, 1798.9474964180017, 1825.4474964179988
81, 1776.7530828820018, 1802.853082881999
82, 1755.1048745540018, 1780.9048745539988
83, 1733.8831290770015, 1759.3831290769988
84, 1713.2690442070016, 1738.4690442069987
85, 1693.1447025110015, 1718.0447025109988
86, 1673.3930199240015, 1698.0930199239988
87, 1654.1976978550015, 1678.4976978549987
88, 1635.4431785620013, 1659.4431785619988
89, 1617.0146035220014, 1640.8146035219988
90, 1599.0977745940013, 1622.5977745939988
91, 1581.4791177300015, 1604.779117729999
92, 1564.3456490590015, 1587.345649058999
93, 1547.4849431550015, 1570.284943154999
94, 1530.9851033340015, 1553.5851033339989
95, 1514.9347338250013, 1537.234733824999
96, 1499.1229136810014, 1521.222913680999
97, 1485.5391723030011, 1503.7391723029991
77, 1869.0207754990017, 1896.5207754989988
76, 1893.6184172820017, 1921.5184172819986
75, 1918.8773295120018, 1947.0773295119986
74, 1944.8243204520018, 1973.4243204519985
73, 1971.4876673070019, 2000.3876673069994
72, 1998.7972182419676, 2028.1972182420268
71, 2026.9845030059646, 2056.7845030060275
70, 2055.982853048964, 2086.182853049028
69, 2085.7275320789636, 2116.4275320790284
68, 2116.4558781389633, 2147.5558781390287
67, 2148.007458408962, 2179.607458409029
66, 2180.5242380819614, 2212.624238082029
65, 2214.0507648219614, 2246.65076482203
64, 2248.7343705219605, 2281.73437052203
63, 2284.42539227696, 2317.925392277031
62, 2321.277414732959, 2355.3774147330314
61, 2359.2475362859586, 2393.9475362860317
60, 2398.596661889958, 2433.896661890032
59, 2439.289825650957, 2475.0898256510327
